file,title,authors,year,volume,issue,source,has_text,article_num,article_id
unz/pdf_text/MankindQuarterly-1960jul-00005.txt,World Population,Sir Charles Darwin,1960,NA,1,unz.org,TRUE,01,1960-1-01
unz/pdf_text/MankindQuarterly-1960jul-00011.txt,The Emergence of Racial Genetics,R. Ruggles Gates,1960,NA,1,unz.org,TRUE,02,1960-1-02
unz/pdf_text/MankindQuarterly-1960jul-00015.txt,Klineberg's Chapter on Race and Psychology,Henry E. Garrett,1960,NA,1,unz.org,TRUE,03,1960-1-03
unz/pdf_text/MankindQuarterly-1960jul-00023.txt,A New Anthropometric Approach,S.D. Porteus,1960,NA,1,unz.org,TRUE,04,1960-1-04
unz/pdf_text/MankindQuarterly-1960jul-00031.txt,Fallacies Inherent in Polymorphism,R. Gayre of Gayre,1960,NA,1,unz.org,TRUE,05,1960-1-05
unz/pdf_text/MankindQuarterly-1960jul-00036.txt,Biographical Notes,NA,1960,NA,1,unz.org,TRUE,06,1960-1-06
unz/pdf_text/MankindQuarterly-1960jul-00039.txt,North-South Dichotomy,U.R. Ehrenfels,1960,NA,1,unz.org,TRUE,07,1960-1-07
unz/pdf_text/MankindQuarterly-1960jul-00047.txt,Japan's Solution of her Living-space Problem,William S. Cruickshank,1960,NA,1,unz.org,TRUE,08,1960-1-08
unz/pdf_text/MankindQuarterly-1960jul-00055.txt,"Still Digging, by R.E. Mortimer Wheeler",NA,1960,NA,1,unz.org,TRUE,09,1960-1-09
unz/pdf_text/MankindQuarterly-1960jul-00056.txt,"The Testimony of the Spade, by Geoffrey Bibby",NA,1960,NA,1,unz.org,TRUE,10,1960-1-10
unz/pdf_text/MankindQuarterly-1960jul-00057.txt,"Man on Earth, by Jacquetta Hawkes",NA,1960,NA,1,unz.org,TRUE,11,1960-1-11
unz/pdf_text/MankindQuarterly-1960jul-00058.txt,"East Anglia, by R. Rainbird Clarke",NA,1960,NA,1,unz.org,TRUE,12,1960-1-12
unz/pdf_text/MankindQuarterly-1960jul-00059.txt,"World Without End, by Roger Pilkington",NA,1960,NA,1,unz.org,TRUE,13,1960-1-13
unz/pdf_text/MankindQuarterly-1960jul-00059a02.txt,"Racial Problems in Soviet Muslim Asia, by Geoffrey Wheeler",NA,1960,NA,1,unz.org,TRUE,14,1960-1-14
unz/pdf_text/MankindQuarterly-1960jul-00060.txt,"The Handling of Chromosomes, by C.D. Darlington and L.F. La Cour",NA,1960,NA,1,unz.org,TRUE,15,1960-1-15
unz/pdf_text/MankindQuarterly-1960jul-00060a02.txt,"Applied Geography, by L. Dudley Stamp",NA,1960,NA,1,unz.org,TRUE,16,1960-1-16
unz/pdf_text/MankindQuarterly-1960jul-00061.txt,"Man: Divine or Social, by Arthur Guirdham",NA,1960,NA,1,unz.org,TRUE,17,1960-1-17
unz/pdf_text/MankindQuarterly-1960jul-00062.txt,"Frontiers in Science, by Edward Hutchings, Jr.",R. Gayre of Gayre,1960,NA,1,unz.org,TRUE,18,1960-1-18
unz/pdf_text/MankindQuarterly-1960jul-00064.txt,"Maya, by Charles Gallenkamp",NA,1960,NA,1,unz.org,TRUE,19,1960-1-19
unz/pdf_text/MankindQuarterly-1960jul-00065.txt,"Kalahari, by Jens Bjerre",NA,1960,NA,1,unz.org,TRUE,20,1960-1-20
unz/pdf_text/MankindQuarterly-1960jul-00065a02.txt,"The Individuality of Portugal, by Dan Stanislawski",NA,1960,NA,1,unz.org,TRUE,21,1960-1-21
unz/pdf_text/MankindQuarterly-1960jul-00066.txt,"A Century of Darwin, by S.A. Barnett",R. Gayre of Gayre,1960,NA,1,unz.org,TRUE,22,1960-1-22
unz/pdf_text/MankindQuarterly-1960jul-00068.txt,"Mankind in the Making, by William W. Howells",R. Gayre of Gayre,1960,NA,1,unz.org,TRUE,23,1960-1-23
unz/pdf_text/MankindQuarterly-1960jul-00070.txt,"Mexico, by Erico Verissimo",NA,1960,NA,1,unz.org,TRUE,24,1960-1-24
unz/pdf_text/MankindQuarterly-1960jul-00070a02.txt,"New Biology No. 31, by G.M.L. Johnson",NA,1960,NA,1,unz.org,TRUE,25,1960-1-25
unz/pdf_text/MankindQuarterly-1960jul-00071.txt,"The Prehistory of Southern Africa, by J. Desmond Clark",NA,1960,NA,1,unz.org,TRUE,26,1960-1-26
unz/pdf_text/MankindQuarterly-1960jul-00071a02.txt,"The Ethiopians, by Edward Ullendorff",NA,1960,NA,1,unz.org,TRUE,27,1960-1-27
unz/pdf_text/MankindQuarterly-1960jul-00072.txt,"Eskimo, by Edmund S. Carpenter, Frederick Varley, and Robert Flaherty, ...",NA,1960,NA,1,unz.org,TRUE,28,1960-1-28
unz/pdf_text/MankindQuarterly-1961apr-00236.txt,Psychic and Cultural Traits and the Classification of Human Races,Corrado Gini,1961,NA,4,unz.org,TRUE,01,1961-4-01
unz/pdf_text/MankindQuarterly-1961apr-00242.txt,Ethnic and National Characteristics of the U.S. Elite,Nathaniel Weyl,1961,NA,4,unz.org,TRUE,02,1961-4-02
unz/pdf_text/MankindQuarterly-1961apr-00247.txt,Biographical Notes,NA,1961,NA,4,unz.org,TRUE,03,1961-4-03
unz/pdf_text/MankindQuarterly-1961apr-00248.txt,Race Relations and Mental Health,A. James Gregor,1961,NA,4,unz.org,TRUE,04,1961-4-04
unz/pdf_text/MankindQuarterly-1961apr-00253.txt,The Equalitarian Dogma,Henry E. Garrett,1961,NA,4,unz.org,TRUE,05,1961-4-05
unz/pdf_text/MankindQuarterly-1961apr-00258.txt,The Kurumbas in the Nilgiri Hills of South India,R. Ruggles Gates,1961,NA,4,unz.org,TRUE,06,1961-4-06
unz/pdf_text/MankindQuarterly-1961apr-00276.txt,Biographical Notes,NA,1961,NA,4,unz.org,TRUE,07,1961-4-07
unz/pdf_text/MankindQuarterly-1961apr-00277.txt,Somatopsychical Structures in Human Races,Hans Burkhardt,1961,NA,4,unz.org,TRUE,08,1961-4-08
unz/pdf_text/MankindQuarterly-1961apr-00290.txt,"Issues in Evolution, by Sol Tax",R.R.G.,1961,NA,4,unz.org,TRUE,09,1961-4-09
unz/pdf_text/MankindQuarterly-1961apr-00291.txt,"Jewish Thought as a Factor in Civilization, by Leon Roth",R. Gayre of Gayre,1961,NA,4,unz.org,TRUE,10,1961-4-10
unz/pdf_text/MankindQuarterly-1961apr-00293.txt,"Together in Britain,",NA,1961,NA,4,unz.org,TRUE,11,1961-4-11
unz/pdf_text/MankindQuarterly-1961apr-00294.txt,"Evolution: Its Science and Doctrine, by T.W.M. Cameron",R.R.G.,1961,NA,4,unz.org,TRUE,12,1961-4-12
unz/pdf_text/MankindQuarterly-1961apr-00295.txt,"Adam, by David L. Bolt",NA,1961,NA,4,unz.org,TRUE,13,1961-4-13
unz/pdf_text/MankindQuarterly-1961apr-00295a02.txt,"Recent Advances in Human Genetics, by L.S. Penrose and Helen Lang Brown",R.R.G.,1961,NA,4,unz.org,TRUE,14,1961-4-14
unz/pdf_text/MankindQuarterly-1961apr-00296.txt,"Behaviour Genetics, by John L. Fuller and W. Robert Thompson",R.G. of G.,1961,NA,4,unz.org,TRUE,15,1961-4-15
unz/pdf_text/MankindQuarterly-1961apr-00297.txt,"Tropical Houses, by David Oakley",NA,1961,NA,4,unz.org,TRUE,16,1961-4-16
